nbfc_id,nbfc_name,layer,region,quarter,period_end,sector,loan_outstanding_cr,gnpa_pct,nnpa_pct,crar_pct,roa_pct
  NBFC051 ,BaseFin 51 Ltd,base layer,South,FY25Q2,2024-09-30,Retail (Gold),"2,817.67",1.04,0.25,23.37,3.215
NBFC021,MiddleFin 21 Ltd,Middle Layer,South,FY21Q4,31-03-2021,Retail (Housing),11573.88,3.004,1.352,24.74,1.463
NBFC038,MiddleFin 38 Ltd,Middle Layer,East,FY23Q4,2023-03-31,Infrastructure,6058.75,3.184,1.051,30.02,3.021
NBFC004,UpperFin 04 Ltd,Upper Layer,Central,FY25Q2,2024-09-30,Infrastructure,14604.35,,0.655,25.16,2.581
  NBFC001 ,UpperFin 01 Ltd,Upper Layer,South,FY24Q4,2024-03-31,Wholesale/Corporate,18176.39,2.543,0.687,24.07,3.474
NBFC058,BaseFin 58 Ltd,Base Layer,East,FY25Q2,30-09-2024,MSME,2237.78,3.907,0.938,26.23,2.895
NBFC030,MiddleFin 30 Ltd,Middle Layer,West,FY23Q2,30-09-2022,MSME,22586.27,6.114,2.201,30.24%,2.216
NBFC003,UpperFin 03 Ltd,Upper Layer,East,FY24Q2,30/09/2023,Retail (Personal/Unsecured),15410.92,5.96,1.788,26.93,3.075
NBFC026,MiddleFin 26 Ltd,ML,South,FY25Q2,30/09/2024,Retail (Housing),27735.57,,0.397,23.66,3.543
NBFC025,MiddleFin 25 Ltd,Middle Layer,West,FY21Q4,2021-03-31,Retail (Personal/Unsecured),8667.44,9.814,4.416,24.27,0.939
NBFC009,UpperFin 09 Ltd,Upper Layer,Central,FY24Q2,2023-09-30,Retail (Personal/Unsecured),"15,669.25",5.581,1.674,26.41,2.93
NBFC045,BaseFin 45 Ltd,Base Layer,West,FY24Q2,2023-09-30,Wholesale/Corporate,1043.81,4.027,1.208,999,3.311
NBFC050,BaseFin 50 Ltd,Base Layer,West,FY22Q4,31/03/2022,Retail (Housing),1313.57,2.801,1.092,24.37,1.918
NBFC048,BaseFin 48 Ltd,Base Layer,East,FY21Q4,31/03/2021,Retail (Gold),2016.65,1.981,0.891,25.89,2.002
NBFC028,MiddleFin 28 Ltd,Middle Layer,East,FY23Q4,31-03-2023,Wholesale/Corporate,21306.52,3.892,1.284,28.89,2.728
NBFC040,MiddleFin 40 Ltd,Middle Layer,West,FY21Q4,31-03-2021,Infrastructure,6051.05,5.067,2.28,27.95,1.875
NBFC018,MiddleFin 18 Ltd,ML,East,FY24Q2,2023-09-30,Microfinance,25430.19,7.156,2.147,25.9,3.386
NBFC060,BaseFin 60 Ltd,Base Layer,West,FY21Q4,31-03-2021,Retail (Housing),938.34,3.182,1.432,26.18,1.553
NBFC010,UpperFin 10 Ltd,Upper Layer,West,FY25Q2,30/09/2024,M.S.M.E,16707.81,3.704,0.889,28.67%,3.14
NBFC053,BaseFin 53 Ltd,Base Layer,East,FY25Q2,30/09/2024,Infrastructure,203.29,2.751,0.66,24.34,3.148
NBFC057,BaseFin 57 Ltd,Base Layer,North,FY21Q4,31/03/2021,Retail (Housing),1133.2,3.041,1.368,22.43,1.916
NBFC047,BaseFin 47 Ltd,Base Layer,North,FY22Q4,31-03-2022,Wholesale/Corporate,424.93,5.79%,2.258,29.43,1.544
NBFC023,MiddleFin 23 Ltd,ML,East,FY23Q4,31-03-2023,Retail (Housing),23417.19,1.97,0.65,24.92,
NBFC030,MiddleFin 30 Ltd,Middle Layer,West,FY25Q4,31/03/2025,Wholesale/Corporate,21064.34,3.314,0.696,26.2,2.942
NBFC025,MiddleFin 25 Ltd,Middle Layer,West,FY23Q2,30/09/2022,Retail (Gold),"7,456.62",1.532,0.552,29.57,2.112
NBFC033,MiddleFin 33 Ltd,  Middle Layer ,East,FY23Q2,2022-09-30,Retail (Personal/Unsecured),9973.77,7.487,2.695,28.33,2.551
NBFC024,MiddleFin 24 Ltd,Middle Layer,Central,FY21Q4,2021-03-31,Retail (Personal/Unsecured),8801.12,10.016,4.507,24.21,1.494
NBFC003,UpperFin 03 Ltd,Upper Layer,East,FY22Q2,30-09-2021,Microfinance,4590.05,12.04,5.057,24.36,1.92
NBFC008,UpperFin 08 Ltd,Upper Layer,East,FY24Q2,30/09/2023,MSME,"19,153.32",4.446,1.334,25.44,2.574
NBFC059,BaseFin 59 Ltd,Base Layer,Central,FY22Q4,2022-03-31,Infrastructure,354.11,4.591,1.79,27.81,1.715
NBFC051,BaseFin 51 Ltd,Base Layer,South,FY23Q4,2023-03-31,Infrastructure,241.13,3.155,1.041,28.4,NA
NBFC058,BaseFin 58 Ltd,Base Layer,East,FY22Q4,2022-03-31,Retail (Vehicle),"1,474.19",5.433,2.119,23.74,1.557
NBFC057,BaseFin 57 Ltd,Base Layer,North,FY22Q4,2022-03-31,Infrastructure,315.22,4.672,,24.18%,1.803
NBFC014,UpperFin 14 Ltd,UPPER LAYER,Central,FY25Q4,2025-03-31,Retail (Vehicle),28930.63,2.833,0.595,27.61,2.95
NBFC026,MiddleFin 26 Ltd,Middle Layer,South,FY24Q2,30/09/2023,Wholesale/Corporate,16638.03,3.985,1.195,29.75%,2.796
NBFC041,BaseFin 41 Ltd,Base Layer,South,FY22Q4,31-03-2022,housing,735.26,2.889,1.127,25.97,1.556
NBFC017,MiddleFin 17 Ltd,Middle Layer,North,FY24Q4,31/03/2024,Wholesale/Corporate,27322.59,2.567,0.693,23.63,2.781
NBFC056,BaseFin 56 Ltd,Base Layer,South,FY21Q4,31-03-2021,Infrastructure,139.93,5.004,2.252,24.64,1.194
NBFC037,MiddleFin 37 Ltd,  Middle Layer ,North,FY24Q4,31/03/2024,MFI,19063.58,4.563,1.232,26.79,2.871
NBFC028,MiddleFin 28 Ltd,Middle Layer,East,FY22Q2,30-09-2021,Microfinance,20759.41,11.898,4.997,28.29,1.508
NBFC037,MiddleFin 37 Ltd,Middle Layer,North,FY24Q4,31/03/2024,Retail (Gold),15886.31,0.734,0.198,27.28,3.447
NBFC056,BaseFin 56 Ltd,Base Layer,South,FY25Q4,31/03/2025,Retail (Housing),1005.97,1.563,0.328,23.71,3.098
NBFC001,UpperFin 01 Ltd,upper layer,South,FY25Q4,31-03-2025,Retail (Personal/Unsecured),17220.69,4.81%,1.01,26.45,3.248
NBFC053,BaseFin 53 Ltd,BL,East,FY24Q4,2024-03-31,Retail (Vehicle),1331.87,2.252,0.608,24.71,3.68
NBFC038,MiddleFin 38 Ltd,Middle Layer,East,FY24Q2,30/09/2023,Wholesale/Corporate,8258.19,3.902%,1.171,30.16%,2.826
NBFC057,BaseFin 57 Ltd,Base Layer,North,FY25Q2,30-09-2024,  Wholesale/Corporate ,1435.49,3.472,0.833,28.1,3.237
NBFC022,MiddleFin 22 Ltd,Middle Layer,North,FY22Q2,30/09/2021,MSME,12894.84,7.647,3.212,27.02,1.477
NBFC040,MiddleFin 40 Ltd,middle layer,West,FY21Q4,31-03-2021,Retail (Personal/Unsecured),10589.35,10.319,4.644,23.7,2.032
NBFC035,MiddleFin 35 Ltd,Middle Layer,West,FY21Q4,31-03-2021,Retail (Personal/Unsecured),"19,287.38",N/A,4.31,24.63,0.922
NBFC047,BaseFin 47 Ltd,Base Layer,North,FY22Q4,2022-03-31,Infrastructure,141.64,4.661,1.818,28.23,1.821
NBFC059,BaseFin 59 Ltd,Base Layer,Central,FY25Q2,30/09/2024,MSME,3762.73,3.825,0.918,23.15,2.74
NBFC002,UpperFin 02 Ltd,Upper Layer,North,FY23Q2,30/09/2022,Retail (Housing),32160.55,2.359,0.849,25.36,1.688
NBFC044,BaseFin 44 Ltd,BL,Central,FY23Q4,31-03-2023,Infrastructure,377.16,3.07,1.013,NA,3.11
NBFC053,BaseFin 53 Ltd,Base Layer,East,FY25Q2,2024-09-30,Retail (Housing),813.16,1.623,0.39,26.12,3.253
NBFC040,MiddleFin 40 Ltd,Middle Layer,West,FY22Q4,31-03-2022,MSME,13465.77,6.876%,2.682,29.57,1.932
NBFC024,MiddleFin 24 Ltd,Middle Layer,Central,FY25Q4,31-03-2025,Wholesale/Corporate,11298.27,3.184,0.669,23.94,2.718
NBFC048,BaseFin 48 Ltd,BL,East,FY24Q2,30-09-2023,  Retail (Vehicle) ,2224.91,3.393,1.018,30.34,2.508
NBFC005,UpperFin 05 Ltd,Upper Layer,West,FY23Q4,2023-03-31,Microfinance,3616.87,7.317,2.415,29.44,2.771
NBFC046,BaseFin 46 Ltd,  Base Layer ,South,FY21Q4,31-03-2021,Retail (Gold),2405.26,1.885,0.848,23.46,0.962
NBFC049,BaseFin 49 Ltd,Base Layer,Central,FY24Q2,30/09/2023,Wholesale/Corporate,922.97,3.834,1.15,25.24,2.635
NBFC044,BaseFin 44 Ltd,Base Layer,Central,FY24Q2,30/09/2023,Retail (Gold),3701.37,1.226,0.368,28.1,3.665
NBFC021,MiddleFin 21 Ltd,Middle Layer,South,FY24Q2,30-09-2023,Wholesale/Corporate,11726.73,3.679,1.104,25.35,2.737
NBFC042,BaseFin 42 Ltd,Base Layer,North,FY24Q2,30/09/2023,Retail (Housing),1685.57,1.761,0.528,26.98,2.814
NBFC001,UpperFin 01 Ltd,Upper Layer,South,FY23Q2,2022-09-30,Wholesale/Corporate,13848.68,5.43%,1.955,27.14,2.505
NBFC015,UpperFin 15 Ltd,Upper Layer,West,FY22Q2,30/09/2021,Retail (Vehicle),18072.36,6.175,2.593,23.54,1.222
NBFC029,MiddleFin 29 Ltd,Middle Layer,Central,FY22Q4,31-03-2022,M.S.M.E,23234.23,6.578,2.565,25.4,1.864
NBFC032,MiddleFin 32 Ltd,Middle  Layer,North,FY23Q2,30/09/2022,msme,16648.53,6.041,2.175,25.75,2.658
NBFC042,BaseFin 42 Ltd,base layer,North,FY23Q4,2023-03-31,Infrastructure,386.45,3.311,1.093,28.82,2.533
NBFC057,BaseFin 57 Ltd,  Base Layer ,North,FY23Q4,31-03-2023,Retail (Gold),3316.82,1.185,0.391,25.2,3.448
NBFC046,BaseFin 46 Ltd,Base Layer,South,FY23Q4,31/03/2023,micro finance,3476.59,7.551,2.492,27.34,2.654
NBFC011,UpperFin 11 Ltd,Upper Layer,South,FY25Q4,31-03-2025,Retail (Vehicle),"24,582.39",2.904,0.61,23.48,2.201
NBFC007,UpperFin 07 Ltd,Upper Layer,North,FY23Q2,30/09/2022,Retail (Personal/Unsecured),5182.71,7.901,2.844,-,2.395
NBFC037,MiddleFin 37 Ltd,Middle Layer,North,FY22Q2,30/09/2021,Retail (Personal/Unsecured),14860.32,9.933,4.172,25.66,2.01
NBFC013,UpperFin 13 Ltd,Upper Layer,East,FY23Q2,2022-09-30,Wholesale/Corporate,9291.61,5.028,1.81,26.99,2.523
NBFC057,BaseFin 57 Ltd,Base Layer,North,FY22Q4,31-03-2022,Wholesale/Corporate,945.66,5.998,2.339,25.81,1.264
NBFC024,MiddleFin 24 Ltd,Middle Layer,Central,FY25Q2,30-09-2024,gold,0,1.016,0.244,26.25%,3.425
NBFC025,MiddleFin 25 Ltd,Middle Layer,West,FY24Q4,2024-03-31,Retail (Housing),13701.53,1.172,0.316,24.79,3.141
NBFC036,MiddleFin 36 Ltd,Middle Layer,South,FY22Q2,30/09/2021,Infrastructure,6841.9,5.034,2.114,27.53,NA
NBFC058,BaseFin 58 Ltd,Base Layer,East,FY24Q4,2024-03-31,  Retail (Personal/Unsecured) ,2692.82,3.858%,1.042,27.87,2.841
NBFC033,MiddleFin 33 Ltd,Middle Layer,East,FY25Q4,2025-03-31,Retail (Housing),"14,882.74",1.563,0.328,24.25,2.676
NBFC050,BaseFin 50 Ltd,Base Layer,West,FY24Q4,31-03-2024,Infrastructure,466.55,1.919,0.518,28.57,3.68
NBFC013,UpperFin 13 Ltd,Upper Layer,East,FY25Q2,30-09-2024,Wholesale/Corporate,13030.03,3.374,0.81,25.4,2.876
NBFC033,MiddleFin 33 Ltd,Middle Layer,East,FY23Q2,30/09/2022,  MSME ,11398.59,5.676,2.043,29.17,1.602
NBFC015,UpperFin 15 Ltd,Upper Layer,West,FY22Q2,30-09-2021,gold,5421.71,2.006,0.843,23.7,1.443
NBFC004,UpperFin 04 Ltd,Upper Layer,Central,FY23Q2,30-09-2022,Retail (Vehicle),"14,877.49",4.957%,1.785,25.11,1.827
NBFC046,BaseFin 46 Ltd,Base Layer,South,FY23Q2,30-09-2022,Wholesale/Corporate,965.65,5.344,1.924,28.71,1.515
NBFC008,UpperFin 08 Ltd,UPPER LAYER,East,FY23Q2,30/09/2022,Retail (Gold),8131.43,1.547,0.557,NA,2.368
NBFC007,UpperFin 07 Ltd,Upper Layer,North,FY21Q4,31-03-2021,Retail (Personal/Unsecured),4303.07,10.259,4.617,26.82,0.951
NBFC057,BaseFin 57 Ltd,Base Layer,North,FY25Q2,30-09-2024,gold,4306.46,1.082%,0.26,999,3.111
NBFC024,MiddleFin 24 Ltd,Middle Layer,Central,FY23Q2,2022-09-30,  Retail (Housing) ,10600.27,2.479%,0.892,25.75,1.861
NBFC039,MiddleFin 39 Ltd,Middle Layer,Central,FY21Q4,31-03-2021,Retail (Housing),21520.51,3.109,1.399,26.62,2.017
NBFC012,UpperFin 12 Ltd,Upper Layer,North,FY24Q2,30-09-2023,Wholesale/Corporate,"11,284.53",4.001,1.2,30.44,2.932
  NBFC018 ,MiddleFin 18 Ltd,Middle Layer,East,FY22Q2,30-09-2021,Infrastructure,12623.72,5.106,-,26.7,1.108
NBFC029,MiddleFin 29 Ltd,Middle Layer,Central,FY21Q4,31-03-2021,Wholesale/Corporate,13050.83,6.272,2.822,22.51%,2.021
NBFC021,MiddleFin 21 Ltd,Middle Layer,South,FY22Q4,31-03-2022,MSME,14717.73,6.959,2.714,26.62%,1.786
NBFC032,MiddleFin 32 Ltd,Middle  Layer,North,FY22Q2,2021-09-30,Microfinance,10949.99,12.576,5.282,25.22,1.282
NBFC028,MiddleFin 28 Ltd,Middle Layer,East,FY23Q2,30-09-2022,Infrastructure,15781.47,4.164,1.499,29.16,1.695
NBFC023,MiddleFin 23 Ltd,Middle Layer,East,FY24Q4,2024-03-31,Retail (Personal/Unsecured),28456.33,3.907,1.055,-,2.859
NBFC050,BaseFin 50 Ltd,Base Layer,West,FY22Q4,31/03/2022,Infrastructure,328.39,4.516,1.761,26.15,1.281
NBFC017,MiddleFin 17 Ltd,Middle Layer,North,FY25Q4,31-03-2025,MSME,49701.1,3.437,0.722,23.75,3.336
NBFC052,BaseFin 52 Ltd,Base Layer,North,FY22Q2,2021-09-30,Wholesale/Corporate,748.91,6.408,2.691,999,1.102
NBFC019,MiddleFin 19 Ltd,Middle Layer,Central,FY24Q4,2024-03-31,Infrastructure,16401.65,2.033,0.549,26.53,3.43
NBFC035,MiddleFin 35 Ltd,Middle Layer,West,FY22Q4,2022-03-31,Retail (Personal/Unsecured),21460.67,9.518,3.712,29.14,1.934
NBFC038,MiddleFin 38 Ltd,Middle Layer,East,FY24Q2,2023-09-30,Microfinance,9909.83,6.849,2.055,25.27%,2.979
NBFC060,BaseFin 60 Ltd,Base Layer,West,FY22Q4,2022-03-31,MFI,"2,610.18",10.45,4.075,27.23,2.155
  NBFC038 ,MiddleFin 38 Ltd,middle layer,East,FY23Q2,30-09-2022,MFI,8414.32,9.537,3.433,28.7,1.596
NBFC022,MiddleFin 22 Ltd,Middle Layer,North,FY23Q2,30/09/2022,Retail (Gold),9190.09,1.581,0.569,27.45,2.47
NBFC060,BaseFin 60 Ltd,Base Layer,West,FY21Q4,2021-03-31,gold,2111.27,2.012,0.905,23.61,1.903
NBFC004,UpperFin 04 Ltd,Upper Layer,Central,FY23Q4,2023-03-31,Retail (Personal/Unsecured),8034.43,6.248,2.062,29.38,2.888
NBFC018,MiddleFin 18 Ltd,Middle Layer,East,FY23Q2,30/09/2022,Retail (Personal/Unsecured),25191.21,7.633,2.748,28.0,1.931
NBFC002,UpperFin 02 Ltd,Upper Layer,North,FY25Q2,30/09/2024,Infrastructure,28137.34,2.748,null,26.47,2.921
NBFC052,BaseFin 52 Ltd,Base Layer,North,FY22Q2,30-09-2021,Retail (Housing),998.55,3.234,1.358,26.69,1.537
NBFC060,BaseFin 60 Ltd,Base Layer,West,FY23Q2,2022-09-30,Wholesale/Corporate,847.62,5.423,1.952,29.79,2.226
NBFC011,UpperFin 11 Ltd,Upper Layer,South,FY22Q2,30/09/2021,Retail (Housing),15891.68,3.088,1.297,28.58,1.666
NBFC024,MiddleFin 24 Ltd,Middle Layer,Central,FY23Q4,2023-03-31,Microfinance,9813.53,7.144,2.358,26.16,2.562
  NBFC047 ,BaseFin 47 Ltd,Base Layer,North,FY23Q4,31/03/2023,Infrastructure,165.6,3.138,1.036,27.14,3.377
NBFC011,UpperFin 11 Ltd,Upper Layer,South,FY23Q2,30-09-2022,  Microfinance ,3294.81,9.329,3.358,28.66%,1.804
NBFC006,UpperFin 06 Ltd,Upper Layer,South,FY25Q4,31-03-2025,msme,"25,228.29",3.642,0.765,25.76,2.447
,,,,,,,,,,,
NBFC021,MiddleFin 21 Ltd,Middle Layer,South,FY23Q4,31/03/2023,MSME,"17,206.98",4.474,1.476,25.18,2.772
NBFC041,BaseFin 41 Ltd,base layer,South,FY25Q2,2024-09-30,MSME,1953.18,3.839,0.921,28.26,2.579
  NBFC039 ,MiddleFin 39 Ltd,ML,Central,FY22Q2,30-09-2021,microfinance,19483.23,12.321,5.175,28.53,1.389
NBFC018,MiddleFin 18 Ltd,Middle Layer,East,FY24Q4,2024-03-31,  Retail (Gold) ,23616.76,0.797,0.215,26.34,2.995
NBFC027,MiddleFin 27 Ltd,middle layer,North,FY21Q4,31/03/2021,Retail (Gold),11166.76,1.995,0.898,27.24,1.313
NBFC045,BaseFin 45 Ltd,BASE LAYER,West,FY23Q4,31-03-2023,Retail (Vehicle),2233.61,3.869%,1.277,27.46,2.318
NBFC030,MiddleFin 30 Ltd,Middle Layer,West,FY25Q2,30-09-2024,Retail (Gold),19796.07,1.009,0.242,23.32,3.537
NBFC004,UpperFin 04 Ltd,upper layer,Central,FY22Q2,30/09/2021,Wholesale/Corporate,7828.12,6.386,2.682,24.98%,2.033
NBFC036,MiddleFin 36 Ltd,Middle Layer,South,FY25Q4,2025-03-31,Retail (Gold),14552.37,0.917,NA,25.86,2.479
NBFC045,BaseFin 45 Ltd,Base Layer,West,FY25Q2,30/09/2024,Microfinance,"4,142.93",6.543,1.57,24.04,3.217
NBFC018,MiddleFin 18 Ltd,Middle  Layer,East,FY24Q2,30-09-2023,Retail (Gold),21191.83,1.125,0.337,25.6,3.15
NBFC056,BaseFin 56 Ltd,BASE LAYER,South,FY24Q4,31/03/2024,Retail (Housing),884.84,1.271,0.343,25.07,3.855
NBFC031,MiddleFin 31 Ltd,Middle Layer,South,FY21Q4,31-03-2021,M.S.M.E,18433.9,7.281,3.276,23.4%,1.279
NBFC049,BaseFin 49 Ltd,Base Layer,Central,FY24Q2,30-09-2023,Retail (Personal/Unsecured),2768.91,6.124,1.837,30.39,3.465
  NBFC021 ,MiddleFin 21 Ltd,Middle Layer,South,FY22Q2,2021-09-30,Retail (Gold),8731.84,2.03,0.853,28.96,2.13
NBFC013,UpperFin 13 Ltd,Upper Layer,East,FY22Q4,2022-03-31,Infrastructure,"10,014.49",4.852,1.892,28.46,2.168
  NBFC033 ,MiddleFin 33 Ltd,Middle Layer,East,FY24Q4,31/03/2024,Infrastructure,7480.33,2.02,0.545,25.37,null
NBFC025,MiddleFin 25 Ltd,Middle Layer,West,FY25Q4,31/03/2025,Microfinance,13352.0,5.485,1.152,27.03,2.654
NBFC052,BaseFin 52 Ltd,Base Layer,North,FY22Q2,30-09-2021,Retail (Personal/Unsecured),2246.73,9.768,4.103,28.67,1.114
NBFC046,BaseFin 46 Ltd,Base Layer,South,FY22Q2,30/09/2021,Retail (Gold),2540.49,2.103,0.883,24.1,2.109
NBFC052,BaseFin 52 Ltd,BL,North,FY24Q4,2024-03-31,  MSME ,2615.34,2.886,0.779,27.36,3.519
NBFC008,UpperFin 08 Ltd,Upper Layer,East,FY25Q4,2025-03-31,Infrastructure,28311.77,2.414,0.507,28.08,2.538
NBFC043,BaseFin 43 Ltd,Base Layer,East,FY23Q2,2022-09-30,Wholesale/Corporate,785.25,5.156,1.856,27.84,1.505
NBFC034,MiddleFin 34 Ltd,Middle Layer,Central,FY23Q4,31-03-2023,Retail (Housing),14573.96,1.938,0.64,29.61%,3.296
NBFC009,UpperFin 09 Ltd,Upper Layer,Central,FY23Q2,2022-09-30,Retail (Gold),7982.74,1.573,0.566,27.64,1.545
