grouping,dimension_value,quarter,loan_outstanding_cr,gnpa_pct_wtd,nnpa_pct_wtd,crar_pct_wtd,roa_pct_wtd
sector,Infrastructure,FY22Q2,426550.02,5.214,2.189,26.476,1.538
sector,Infrastructure,FY22Q4,449349.99,4.691,1.829,26.805,1.667
sector,Infrastructure,FY23Q2,464458.68,4.063,1.464,27.684,2.049
sector,Infrastructure,FY23Q4,525350.01,3.188,1.051,27.71,2.819
sector,Infrastructure,FY24Q2,523577.66,3.047,0.913,27.951,3.057
sector,Infrastructure,FY24Q4,638400.01,1.982,0.536,26.903,3.312
sector,Infrastructure,FY25Q2,682100.0,2.693,0.646,26.027,3.019
sector,Infrastructure,FY25Q4,726037.72,2.462,0.517,26.069,2.768
sector,MSME,FY21Q4,490076.15,7.335,3.297,25.223,1.6
sector,MSME,FY22Q2,633738.07,7.466,3.14,26.388,1.569
sector,MSME,FY22Q4,631882.15,6.753,2.633,27.034,1.726
sector,MSME,FY23Q2,687334.11,5.851,2.105,27.479,2.157
sector,MSME,FY23Q4,665064.89,4.555,1.503,27.925,2.828
sector,MSME,FY24Q2,836588.26,4.348,1.304,27.497,3.088
sector,MSME,FY24Q4,919225.1,2.86,0.772,26.849,3.273
sector,MSME,FY25Q2,846366.77,3.897,0.935,26.212,3.072
sector,MSME,FY25Q4,974924.24,3.561,0.747,25.649,2.824
sector,Microfinance,FY21Q4,398965.33,11.954,5.366,25.546,1.536
sector,Microfinance,FY22Q2,449057.56,12.06,5.069,26.281,1.688
sector,Microfinance,FY22Q4,462713.95,10.892,4.248,26.765,1.731
sector,Microfinance,FY23Q2,482906.37,9.455,3.421,27.46,2.016
sector,Microfinance,FY23Q4,509400.2,7.447,2.454,27.989,2.939
sector,Microfinance,FY24Q2,601015.09,6.973,2.095,27.502,3.03
sector,Microfinance,FY24Q4,672000.02,4.646,1.257,26.548,3.246
sector,Microfinance,FY25Q2,718529.0,6.317,1.515,25.95,3.005
sector,Microfinance,FY25Q4,764251.15,5.752,1.206,25.889,2.772
sector,Retail (Gold),FY21Q4,391432.09,1.977,0.889,24.484,1.407
sector,Retail (Gold),FY22Q2,385769.56,2.011,0.844,25.879,1.655
sector,Retail (Gold),FY22Q4,433884.03,1.821,0.71,26.129,1.719
sector,Retail (Gold),FY23Q2,471449.65,1.562,0.563,27.463,2.171
sector,Retail (Gold),FY23Q4,488534.22,1.227,0.405,27.606,2.863
sector,Retail (Gold),FY24Q2,552826.08,1.173,0.352,27.366,3.185
sector,Retail (Gold),FY24Q4,618777.64,0.77,0.208,26.454,3.191
sector,Retail (Gold),FY25Q2,643610.44,1.046,0.251,25.757,2.919
sector,Retail (Gold),FY25Q4,703491.22,0.957,0.201,25.653,2.791
sector,Retail (Housing),FY21Q4,683171.37,3.086,1.39,24.836,1.59
sector,Retail (Housing),FY22Q2,656943.04,3.158,1.325,25.869,1.615
sector,Retail (Housing),FY22Q4,743631.98,2.891,1.126,26.611,1.726
sector,Retail (Housing),FY23Q2,795456.07,2.48,0.893,27.587,2.198
sector,Retail (Housing),FY23Q4,890573.78,1.954,0.644,27.976,3.055
sector,Retail (Housing),FY24Q2,895779.06,1.836,0.551,27.703,3.17
sector,Retail (Housing),FY24Q4,1042220.82,1.208,0.327,26.942,3.271
sector,Retail (Housing),FY25Q2,1108624.31,1.642,0.394,25.96,3.039
sector,Retail (Housing),FY25Q4,1164469.78,1.51,0.317,25.329,2.731
sector,Retail (Personal/Unsecured),FY21Q4,543048.2,9.938,4.465,25.294,1.584
sector,Retail (Personal/Unsecured),FY22Q2,561114.05,10.03,4.212,26.171,1.651
sector,Retail (Personal/Unsecured),FY22Q4,614899.99,9.126,3.559,26.699,1.682
sector,Retail (Personal/Unsecured),FY23Q2,665635.83,7.831,2.821,27.275,2.093
sector,Retail (Personal/Unsecured),FY23Q4,702954.45,6.151,2.033,27.626,2.798
sector,Retail (Personal/Unsecured),FY24Q2,784088.1,5.875,1.763,26.852,3.08
sector,Retail (Personal/Unsecured),FY24Q4,866831.92,3.85,1.039,26.548,3.332
sector,Retail (Personal/Unsecured),FY25Q2,886836.69,5.264,1.264,26.759,2.944
sector,Retail (Personal/Unsecured),FY25Q4,993200.05,4.768,1.002,25.614,2.74
sector,Retail (Vehicle),FY21Q4,699436.67,5.953,2.683,25.001,1.454
sector,Retail (Vehicle),FY22Q2,767969.57,5.994,2.52,26.262,1.609
sector,Retail (Vehicle),FY22Q4,794603.97,5.472,2.136,26.274,1.684
sector,Retail (Vehicle),FY23Q2,849176.05,4.71,1.697,27.626,2.131
sector,Retail (Vehicle),FY23Q4,911760.76,3.704,1.222,26.789,2.858
sector,Retail (Vehicle),FY24Q2,1017103.45,3.537,1.061,27.976,3.131
sector,Retail (Vehicle),FY24Q4,1150759.7,2.302,0.622,26.87,3.355
sector,Retail (Vehicle),FY25Q2,1228067.19,3.162,0.759,26.363,2.995
sector,Retail (Vehicle),FY25Q4,1306745.6,2.863,0.602,26.024,2.843
sector,Wholesale/Corporate,FY21Q4,441933.99,6.462,2.904,24.679,1.47
sector,Wholesale/Corporate,FY22Q2,466180.64,6.517,2.74,26.27,1.513
sector,Wholesale/Corporate,FY22Q4,478679.74,5.962,2.323,26.266,1.734
sector,Wholesale/Corporate,FY23Q2,509766.06,5.164,1.859,27.407,2.048
sector,Wholesale/Corporate,FY23Q4,574177.12,4.053,1.342,27.706,2.865
sector,Wholesale/Corporate,FY24Q2,614909.17,3.847,1.155,28.129,3.035
sector,Wholesale/Corporate,FY24Q4,686415.98,2.565,0.692,26.292,3.28
sector,Wholesale/Corporate,FY25Q2,714070.56,3.407,0.818,26.017,3.079
sector,Wholesale/Corporate,FY25Q4,766970.2,3.129,0.658,25.761,2.937
